Wall time,Step,Value
1769455653.9703972,16384,1.399999976158142
1769455667.6910949,32768,1.5199999809265137
1769455684.5330756,49152,1.5700000524520874
1769455702.3160124,65536,1.4600000381469727
1769455715.4961443,81920,1.6299999952316284
1769455733.6083913,98304,1.590000033378601
1769455750.6718354,114688,1.3799999952316284
1769455768.405512,131072,1.7400000095367432
1769455786.4209812,147456,1.7899999618530273
1769455801.3005185,163840,1.659999966621399
1769455820.169203,180224,1.809999942779541
1769455837.9350288,196608,1.9900000095367432
1769455857.1787448,212992,2.0299999713897705
1769455874.0246162,229376,2.2200000286102295
1769455893.9136515,245760,2.109999895095825
1769455914.5898361,262144,2.1600000858306885
