Wall time,Step,Value
1769434747.0594122,16384,2.869999885559082
1769434758.1516027,32768,3.5899999141693115
1769434776.5872908,49152,3.25
1769434795.298149,65536,4.050000190734863
1769434813.8175871,81920,4.510000228881836
1769434832.4422855,98304,4.71999979019165
1769434850.3084097,114688,5.46999979019165
1769434868.1812193,131072,6.550000190734863
1769434885.7864351,147456,7.460000038146973
1769434903.3964145,163840,7.809999942779541
1769434922.2741532,180224,8.529999732971191
1769434940.9836063,196608,10.180000305175781
1769434959.3371613,212992,11.930000305175781
1769434977.6691241,229376,13.649999618530273
1769434996.0091274,245760,15.390000343322754
1769435013.0607603,262144,15.039999961853027
